shr_energy_y_v,shr_theta_v,plot_weight,nu_e,backtracked_e,nu_pdg,true_fid_vol,nelec,nueccinc,leeweight
646.26215,0.55197394,0.19756739609515653,2.6495051,0.59253544,14,True,0,False,0.0
149.75676,1.3487031,0.2599571033872377,0.6101927,-3.4028235e+38,14,False,0,False,0.0
2369.008,1.2091305,0.2599571033872377,1.4609022,-3.4028235e+38,14,True,0,False,0.0
642.5794,0.97997487,0.2599571033872377,1.0076153,0.675642,14,True,0,False,0.0
842.67377,0.37560984,0.0052766587587571336,1.8966733,0.9899862,-12,True,1,True,0.0
873.3503,0.31699657,0.0052766587587571336,1.5640559,1.0765146,12,True,1,True,0.0
1066.3129,0.5458459,0.005187075286292196,1.2448217,1.0568378,12,True,1,True,0.0
1638.9456,0.33968475,0.006802705940648211,2.7581513,2.350939,12,True,1,True,0.0
808.64465,0.5637602,0.00622589722476142,1.0838739,0.76586854,12,True,1,True,0.0
403.7197,0.414154,0.005745248455925433,0.66942775,0.5568249,12,True,1,True,0.152327
1769.3356,0.39915213,0.006321823802891004,2.2100432,1.9062759,12,True,1,True,0.0
826.1756,0.25219008,0.005185913788413401,1.5094892,0.875285,12,True,1,True,0.0
385.08426,1.2624812,0.006490340696054899,0.7504021,0.33438358,12,True,1,True,0.152327
565.9651,0.30067435,0.007204706237899291,0.8276966,0.604549,12,True,1,True,0.0
1067.234,0.78538066,0.006137354162527474,1.3493471,0.9853226,12,True,1,True,0.0
1171.4813,0.28095847,0.005592610084805637,1.4143969,1.2308396,12,True,1,True,0.0
1055.9999,0.58322465,0.0052766587587571336,1.587524,1.0895993,-12,True,1,True,0.0
618.5029,0.57066303,0.005185954046124878,0.62935084,0.57920337,12,True,1,True,0.152327
372.8984,0.23600672,0.0052766587587571336,0.8780208,0.42700037,12,True,1,True,0.0
1923.5122,0.35301018,0.00673696698488595,2.681545,2.0510135,12,True,1,True,0.0
1045.7701,0.41918755,0.006598427619157607,1.6764531,1.5347955,12,True,1,True,0.0
2356.4211,0.30330163,0.007123407676651041,3.164415,2.5708876,12,True,1,True,0.0
463.12335,1.1438961,0.007018349517310261,0.6227178,0.42239538,12,True,1,True,0.152327
635.11914,0.57763153,0.005315650868429899,1.1148934,0.60161304,12,True,1,True,0.0
1907.3317,0.23972176,0.005703648401381027,2.2657154,2.10662,12,True,1,True,0.0
1669.352,0.45059395,0.0052766587587571336,2.170582,1.5704651,12,True,1,True,0.0
943.84174,0.49021846,0.0052766587587571336,1.7301245,0.8126857,12,True,1,True,0.0
1555.3777,0.47752106,0.005755069450445677,2.0048022,1.4907826,12,True,1,True,0.0
764.07794,1.000627,0.006354455194150351,1.1756036,0.6747453,12,True,1,True,0.0
819.5715,0.7178788,0.007256191447691608,1.6921672,1.1032171,12,True,1,True,0.0
